,location,location_name,super_region_name,region_name,year,mean,global_rank,super_region_rank
716,MWI,Malawi,Sub-Saharan Africa,Eastern Sub-Saharan Africa,2000,0.036,174.0,42.5
728,NAM,Namibia,Sub-Saharan Africa,Southern Sub-Saharan Africa,2000,0.115,128.0,15.5
734,NER,Niger,Sub-Saharan Africa,Western Sub-Saharan Africa,2000,0.037,172.0,41.0
740,NGA,Nigeria,Sub-Saharan Africa,Western Sub-Saharan Africa,2000,0.103,139.5,22.5
860,RWA,Rwanda,Sub-Saharan Africa,Eastern Sub-Saharan Africa,2000,0.023,185.0,48.0
878,SEN,Senegal,Sub-Saharan Africa,Western Sub-Saharan Africa,2000,0.132,115.0,12.0
896,SLE,Sierra Leone,Sub-Saharan Africa,Western Sub-Saharan Africa,2000,0.079,151.0,30.0
908,SOM,Somalia,Sub-Saharan Africa,Eastern Sub-Saharan Africa,2000,0.096,142.5,25.5
920,SSD,South Sudan,Sub-Saharan Africa,Eastern Sub-Saharan Africa,2000,0.204,54.0,4.0
926,STP,Sao Tome and Principe,Sub-Saharan Africa,Western Sub-Saharan Africa,2000,0.104,137.5,20.5
956,SWZ,Swaziland,Sub-Saharan Africa,Southern Sub-Saharan Africa,2000,0.235,30.0,2.0
