,location,location_name,super_region_name,region_name,year,mean,global_rank,super_region_rank
781,PAK,Pakistan,South Asia,South Asia,1995,0.116,120.0,3.0
7,AGO,Angola,Sub-Saharan Africa,Central Sub-Saharan Africa,1995,0.12,117.0,11.0
67,BDI,Burundi,Sub-Saharan Africa,Eastern Sub-Saharan Africa,1995,0.028,178.0,45.0
79,BEN,Benin,Sub-Saharan Africa,Western Sub-Saharan Africa,1995,0.06,154.5,32.5
85,BFA,Burkina Faso,Sub-Saharan Africa,Western Sub-Saharan Africa,1995,0.045,161.0,35.0
163,BWA,Botswana,Sub-Saharan Africa,Southern Sub-Saharan Africa,1995,0.149,97.0,8.0
169,CAF,Central African Republic,Sub-Saharan Africa,Central Sub-Saharan Africa,1995,0.066,152.0,30.0
199,CIV,Cote d'Ivoire,Sub-Saharan Africa,Western Sub-Saharan Africa,1995,0.042,164.5,37.0
205,CMR,Cameroon,Sub-Saharan Africa,Western Sub-Saharan Africa,1995,0.105,129.5,16.0
211,COD,Democratic Republic of the Congo,Sub-Saharan Africa,Central Sub-Saharan Africa,1995,0.041,166.0,38.0
217,COG,Congo,Sub-Saharan Africa,Central Sub-Saharan Africa,1995,0.113,122.0,12.0
229,COM,Comoros,Sub-Saharan Africa,Eastern Sub-Saharan Africa,1995,0.1,135.0,18.0
235,CPV,Cape Verde,Sub-Saharan Africa,Western Sub-Saharan Africa,1995,0.099,136.0,19.0
271,DJI,Djibouti,Sub-Saharan Africa,Eastern Sub-Saharan Africa,1995,0.104,131.0,17.0
313,ERI,Eritrea,Sub-Saharan Africa,Eastern Sub-Saharan Africa,1995,0.034,171.5,41.0
331,ETH,Ethiopia,Sub-Saharan Africa,Eastern Sub-Saharan Africa,1995,0.022,184.0,47.5
361,GAB,Gabon,Sub-Saharan Africa,Central Sub-Saharan Africa,1995,0.138,103.5,9.0
379,GHA,Ghana,Sub-Saharan Africa,Western Sub-Saharan Africa,1995,0.06,154.5,32.5
385,GIN,Guinea,Sub-Saharan Africa,Western Sub-Saharan Africa,1995,0.043,163.0,36.0
391,GMB,The Gambia,Sub-Saharan Africa,Western Sub-Saharan Africa,1995,0.098,137.0,20.0
397,GNB,Guinea-Bissau,Sub-Saharan Africa,Western Sub-Saharan Africa,1995,0.11,124.0,13.0
403,GNQ,Equatorial Guinea,Sub-Saharan Africa,Central Sub-Saharan Africa,1995,0.268,20.0,1.0
529,KEN,Kenya,Sub-Saharan Africa,Eastern Sub-Saharan Africa,1995,0.093,140.0,23.0
577,LBR,Liberia,Sub-Saharan Africa,Western Sub-Saharan Africa,1995,0.133,107.0,10.0
601,LSO,Lesotho,Sub-Saharan Africa,Southern Sub-Saharan Africa,1995,0.167,74.0,5.0
637,MDG,Madagascar,Sub-Saharan Africa,Eastern Sub-Saharan Africa,1995,0.027,179.0,46.0
667,MLI,Mali,Sub-Saharan Africa,Western Sub-Saharan Africa,1995,0.076,147.0,28.0
697,MOZ,Mozambique,Sub-Saharan Africa,Eastern Sub-Saharan Africa,1995,0.051,159.0,34.0
703,MRT,Mauritania,Sub-Saharan Africa,Western Sub-Saharan Africa,1995,0.156,88.5,7.0
709,MUS,Mauritius,Sub-Saharan Africa,Eastern Sub-Saharan Africa,1995,0.109,126.0,14.0
715,MWI,Malawi,Sub-Saharan Africa,Eastern Sub-Saharan Africa,1995,0.032,174.0,42.5
727,NAM,Namibia,Sub-Saharan Africa,Southern Sub-Saharan Africa,1995,0.091,141.0,24.0
733,NER,Niger,Sub-Saharan Africa,Western Sub-Saharan Africa,1995,0.032,174.0,42.5
739,NGA,Nigeria,Sub-Saharan Africa,Western Sub-Saharan Africa,1995,0.082,144.0,26.0
859,RWA,Rwanda,Sub-Saharan Africa,Eastern Sub-Saharan Africa,1995,0.022,184.0,47.5
877,SEN,Senegal,Sub-Saharan Africa,Western Sub-Saharan Africa,1995,0.108,127.0,15.0
895,SLE,Sierra Leone,Sub-Saharan Africa,Western Sub-Saharan Africa,1995,0.076,147.0,28.0
907,SOM,Somalia,Sub-Saharan Africa,Eastern Sub-Saharan Africa,1995,0.094,138.5,21.5
919,SSD,South Sudan,Sub-Saharan Africa,Eastern Sub-Saharan Africa,1995,0.199,45.5,4.0
925,STP,Sao Tome and Principe,Sub-Saharan Africa,Western Sub-Saharan Africa,1995,0.094,138.5,21.5
